region;peat_type;tree_type;year;basal_area
south;4;deciduous;1998;3.56132798768062
south;6;pine;1998;9.28289254495447
south;6;spruce;1998;0.0963252885470262
south;6;deciduous;1998;0.787956796716879
south;7;pine;1998;4.35299964581408
south;7;spruce;1998;0
south;7;deciduous;1998;0.0431202018874172
north;1;pine;1998;2.0083882181187
north;1;spruce;1998;3.12224517302772
north;1;deciduous;1998;9.58146503362088
north;2;pine;1998;4.93499759639294
north;2;spruce;1998;3.72097734423097
north;2;deciduous;1998;6.33719169737176
north;4;pine;1998;7.68627651479361
north;4;spruce;1998;0.840213763338302
north;4;deciduous;1998;2.39644307357941
north;6;pine;1998;6.0586385566616
north;6;spruce;1998;0.139863097001775
north;6;deciduous;1998;0.637923537498474
north;7;pine;1998;3.62099586918839
north;7;spruce;1998;0.123743467336844
north;7;deciduous;1998;0.0820606925495873
south;1;pine;1999;2.26270361434621
south;1;spruce;1999;8.18710392264085
south;1;deciduous;1999;8.28050663200807
south;2;pine;1999;6.03988397627693
south;2;spruce;1999;7.26082527463835
south;2;deciduous;1999;6.13680163624912
south;4;pine;1999;10.9374931024957
south;4;spruce;1999;1.44461454658483
south;4;deciduous;1999;3.54476744415098
south;6;pine;1999;9.48257791685254
south;6;spruce;1999;0.106576393179057
south;6;deciduous;1999;0.804148216011269
south;7;pine;1999;4.42473273986479
south;7;spruce;1999;0
south;7;deciduous;1999;0.0758208318491084
north;1;pine;1999;1.95552596906718
north;1;spruce;1999;3.24063311932272
north;1;deciduous;1999;9.72932983915867
north;2;pine;1999;5.11009888922972
north;2;spruce;1999;3.8311238860445
north;2;deciduous;1999;6.41111451627582
north;4;pine;1999;7.89150895822899
north;4;spruce;1999;0.869382778172682
north;4;deciduous;1999;2.43229391634322
north;6;pine;1999;6.17124640806508
north;6;spruce;1999;0.134250119583933
north;6;deciduous;1999;0.66870440331475
north;7;pine;1999;3.37604181029862
north;7;spruce;1999;0.0928076005026327
north;7;deciduous;1999;0.0615455194121905
south;1;pine;2000;2.35083885264431
south;1;spruce;2000;8.09013805807774
south;1;deciduous;2000;8.36554188256
south;2;pine;2000;6.13545543456504
south;2;spruce;2000;7.27982491624874
south;2;deciduous;2000;6.12433140776677
south;4;pine;2000;11.1077807663529
south;4;spruce;2000;1.43608802853085
south;4;deciduous;2000;3.52820690062134
south;6;pine;2000;9.68226328875061
south;6;spruce;2000;0.116827497811088
south;6;deciduous;2000;0.820339635305658
south;7;pine;2000;4.49646583391549
south;7;spruce;2000;0
south;7;deciduous;2000;0.1085214618108
north;1;pine;2000;1.90266372001567
north;1;spruce;2000;3.35902106561771
north;1;deciduous;2000;9.87719464469645
north;2;pine;2000;5.2852001820665
north;2;spruce;2000;3.94127042785803
north;2;deciduous;2000;6.48503733517988
north;4;pine;2000;8.09674140166438
north;4;spruce;2000;0.898551793007063
north;4;deciduous;2000;2.46814475910703
north;6;pine;2000;6.28385425946856
north;6;spruce;2000;0.12863714216609
north;6;deciduous;2000;0.699485269131027
north;7;pine;2000;3.13108775140884
north;7;spruce;2000;0.0618717336684218
north;7;deciduous;2000;0.0410303462747936
south;1;pine;2001;2.43897409094241
south;1;spruce;2001;7.99317219351462
south;1;deciduous;2001;8.45057713311194
south;2;pine;2001;6.23102689285316
south;2;spruce;2001;7.29882455785914
south;2;deciduous;2001;6.11186117928442
south;4;pine;2001;11.2780684302102
south;4;spruce;2001;1.42756151047687
south;4;deciduous;2001;3.5116463570917
south;6;pine;2001;9.88194866064868
south;6;spruce;2001;0.127078602443119
south;6;deciduous;2001;0.836531054600048
south;7;pine;2001;4.56819892796619
south;7;spruce;2001;0
south;7;deciduous;2001;0.141222091772491
north;1;pine;2001;1.84980147096416
north;1;spruce;2001;3.47740901191271
north;1;deciduous;2001;10.0250594502342
north;2;pine;2001;5.46030147490328
north;2;spruce;2001;4.05141696967156
north;2;deciduous;2001;6.55896015408394
north;4;pine;2001;8.30197384509976
north;4;spruce;2001;0.927720807841443
north;4;deciduous;2001;2.50399560187084
north;6;pine;2001;6.39646211087205
north;6;spruce;2001;0.123024164748247
north;6;deciduous;2001;0.730266134947304
north;7;pine;2001;2.88613369251907
north;7;spruce;2001;0.0309358668342109
north;7;deciduous;2001;0.0205151731373968
south;1;pine;2002;2.52710932924051
south;1;spruce;2002;7.89620632895151
south;1;deciduous;2002;8.53561238366387
south;2;pine;2002;6.32659835114127
south;2;spruce;2002;7.31782419946954
south;2;deciduous;2002;6.09939095080207
south;4;pine;2002;11.4483560940674
south;4;spruce;2002;1.41903499242289
